wiki	date	records
enwiki	20080103	445387
enwiki	20090618	823326
enwiki	20100312	1014012
enwiki	20141208	2213829
enwiki	20150602	2348816
enwiki	20170601	2880605
enwiki	20211120	4442175
enwiki	20240401	5295568
enwiki	20241201	5545002
enwiki	20250601	5722443
jawiki	20110921	261170
jawiki	20141211	416078
jawiki	20150602	441064
jawiki	20160601	495273
jawiki	20170601	547018
jawiki	20180901	616968
jawiki	20190201	641170
jawiki	20190420	654161
jawiki	20190601	661203
jawiki	20190801	670061
jawiki	20191220	695358
jawiki	20200301	709178
jawiki	20200801	742999
jawiki	20200920	753146
jawiki	20201201	767485
jawiki	20210620	816875
jawiki	20210920	841925
jawiki	20211120	857651
jawiki	20220501	898986
jawiki	20221220	943067
jawiki	20240401	1042239
jawiki	20241201	1097343
jawiki	20250601	1140156
jawiki	20260401	1212087
